Study ID,Authors,Author Full Names,Article Title,Source Title,Abstract,Researcher Ids,ORCIDs,ISSN,eISSN,Publication Date,Publication Year,Volume,Issue,DOI,Pubmed Id,Sequence Type,16S Amplicon?,Community/Isolate,LAB,DNA extraction ,DNA extraction volume/mass,Accession numberr?,Method (other),Longitudinal (Duration)? ,Longitudinal?,Longitudinal (space)? ,Spatial,Longitudinal and Spatial (Both),Temperature (0C),pH,NaCl (%),Country,Geographic coordinates,Cheese Type,Duration of ripening (Days),Ripening/ripened?,Commercial/Industrial?,Starter Culture,Starter Culture Type,Starter Sequenced
90,"Medjoudj, H; Aouar, L; Zidoune, MN; Hayaloglu, AA","Medjoudj, Hacene; Aouar, Lamia; Zidoune, Mohammed Nasreddine; Hayaloglu, Ali Adnan","Proteolysis, microbiology, volatiles and sensory evaluation of Algerian traditional cheese Bouhezza made using goat's raw milk",INTERNATIONAL JOURNAL OF FOOD PROPERTIES,"The objective of this work was to characterize the traditional cheese, Bouhezza made with raw goat's milk. There were three cheese making performed; two at the laboratory scale (FH1, FH2) and one in a farm (FH3). The evaluation consisted in the determination of physico-chemical characteristics, proteolysis, microbiological and sensory status. The microbiological characterization was performed during cheese ripening with identification of lactic acid bacteria by 16S rDNA sequencing using PCR-TTGE. The sensory analysis and volatile profile were determined by GC-MS. The pH decreased during cheese ripening from 4.69 to 3.99. The moisture in defatted cheese was 79.05% and fat-in-dry matter 34.77%, which allowed its classification according to the Codex alimentarius as ripened soft and mid-fat cheese. The urea-PAGE pattern of caseins showed a fast proteolysis, which started from the first day of ripening. The sensory evaluation showed that Bouhezza cheese was salty, spicy and intense in odour and aroma. A total, of 100 volatile compounds were identified, where the main components were carboxylic acids (14 compounds) followed by their esters (32) and alcohols (13), aldehydes (5), ketones (8), terpenes and miscellaneous compounds. This study showed that Bouhezza cheese was considered as a product of satisfactory microbiological quality and rich in LABs whose contribute to its ripening, where many of identified strains were the same as those found in other dairy products. The main sensory descriptors as flavour and odor, was lactic flavor and lactic acidic odor. The products of proteolysis gives to Bouhezza a riches in volatiles and fragrance characteristics, which reflect the uniqueness of this cheese of terroir. Finally, an identity card of the Bouhezza cheese was achieved following results of this study.","MEDJOUDJ, Hacene/P-9930-2019; AOUAR, LAMIA/M-9548-2016; Hayaloglu, Ali Adnan/ABF-7063-2020","MEDJOUDJ, Hacene/0000-0002-3942-9387; AOUAR, LAMIA/0000-0003-2918-191X; Hayaloglu, Ali Adnan/0000-0002-4274-2729",1094-2912,1532-2386,,2018,20,,10.1080/10942912.2017.1375515,,*16S rRNA sequencing and PCR-Temporal Temperature Gel Electrophoresis (PCR-TTGE),No,Isolate,Yes,Whole mass,NA,NA,Enumeration of microbes and pathogens,"1, 15, 30, 45, 56, 64 and 72 days",Yes,Whole mass,No,No,NA,3.88,3.54,Algeria,NA,Algerian Bouhezza cheese,56,Ripening,Industrial,NA,NA,NA
90,"Medjoudj, H; Aouar, L; Zidoune, MN; Hayaloglu, AA","Medjoudj, Hacene; Aouar, Lamia; Zidoune, Mohammed Nasreddine; Hayaloglu, Ali Adnan","Proteolysis, microbiology, volatiles and sensory evaluation of Algerian traditional cheese Bouhezza made using goat's raw milk",INTERNATIONAL JOURNAL OF FOOD PROPERTIES,"The objective of this work was to characterize the traditional cheese, Bouhezza made with raw goat's milk. There were three cheese making performed; two at the laboratory scale (FH1, FH2) and one in a farm (FH3). The evaluation consisted in the determination of physico-chemical characteristics, proteolysis, microbiological and sensory status. The microbiological characterization was performed during cheese ripening with identification of lactic acid bacteria by 16S rDNA sequencing using PCR-TTGE. The sensory analysis and volatile profile were determined by GC-MS. The pH decreased during cheese ripening from 4.69 to 3.99. The moisture in defatted cheese was 79.05% and fat-in-dry matter 34.77%, which allowed its classification according to the Codex alimentarius as ripened soft and mid-fat cheese. The urea-PAGE pattern of caseins showed a fast proteolysis, which started from the first day of ripening. The sensory evaluation showed that Bouhezza cheese was salty, spicy and intense in odour and aroma. A total, of 100 volatile compounds were identified, where the main components were carboxylic acids (14 compounds) followed by their esters (32) and alcohols (13), aldehydes (5), ketones (8), terpenes and miscellaneous compounds. This study showed that Bouhezza cheese was considered as a product of satisfactory microbiological quality and rich in LABs whose contribute to its ripening, where many of identified strains were the same as those found in other dairy products. The main sensory descriptors as flavour and odor, was lactic flavor and lactic acidic odor. The products of proteolysis gives to Bouhezza a riches in volatiles and fragrance characteristics, which reflect the uniqueness of this cheese of terroir. Finally, an identity card of the Bouhezza cheese was achieved following results of this study.","MEDJOUDJ, Hacene/P-9930-2019; AOUAR, LAMIA/M-9548-2016; Hayaloglu, Ali Adnan/ABF-7063-2020","MEDJOUDJ, Hacene/0000-0002-3942-9387; AOUAR, LAMIA/0000-0003-2918-191X; Hayaloglu, Ali Adnan/0000-0002-4274-2729",1094-2912,1532-2386,,2018,20,,10.1080/10942912.2017.1375515,,*16S rRNA sequencing and PCR-Temporal Temperature Gel Electrophoresis (PCR-TTGE),No,Isolate,Yes,Whole mass,NA,NA,Enumeration of microbes and pathogens,"1, 15, 30, 45, 56, 64 and 72 days",Yes,Whole mass,No,No,NA,3.62,3.89,Algeria,NA,Algerian Bouhezza cheese,56,Ripening,Industrial,NA,NA,NA
90,"Medjoudj, H; Aouar, L; Zidoune, MN; Hayaloglu, AA","Medjoudj, Hacene; Aouar, Lamia; Zidoune, Mohammed Nasreddine; Hayaloglu, Ali Adnan","Proteolysis, microbiology, volatiles and sensory evaluation of Algerian traditional cheese Bouhezza made using goat's raw milk",INTERNATIONAL JOURNAL OF FOOD PROPERTIES,"The objective of this work was to characterize the traditional cheese, Bouhezza made with raw goat's milk. There were three cheese making performed; two at the laboratory scale (FH1, FH2) and one in a farm (FH3). The evaluation consisted in the determination of physico-chemical characteristics, proteolysis, microbiological and sensory status. The microbiological characterization was performed during cheese ripening with identification of lactic acid bacteria by 16S rDNA sequencing using PCR-TTGE. The sensory analysis and volatile profile were determined by GC-MS. The pH decreased during cheese ripening from 4.69 to 3.99. The moisture in defatted cheese was 79.05% and fat-in-dry matter 34.77%, which allowed its classification according to the Codex alimentarius as ripened soft and mid-fat cheese. The urea-PAGE pattern of caseins showed a fast proteolysis, which started from the first day of ripening. The sensory evaluation showed that Bouhezza cheese was salty, spicy and intense in odour and aroma. A total, of 100 volatile compounds were identified, where the main components were carboxylic acids (14 compounds) followed by their esters (32) and alcohols (13), aldehydes (5), ketones (8), terpenes and miscellaneous compounds. This study showed that Bouhezza cheese was considered as a product of satisfactory microbiological quality and rich in LABs whose contribute to its ripening, where many of identified strains were the same as those found in other dairy products. The main sensory descriptors as flavour and odor, was lactic flavor and lactic acidic odor. The products of proteolysis gives to Bouhezza a riches in volatiles and fragrance characteristics, which reflect the uniqueness of this cheese of terroir. Finally, an identity card of the Bouhezza cheese was achieved following results of this study.","MEDJOUDJ, Hacene/P-9930-2019; AOUAR, LAMIA/M-9548-2016; Hayaloglu, Ali Adnan/ABF-7063-2020","MEDJOUDJ, Hacene/0000-0002-3942-9387; AOUAR, LAMIA/0000-0003-2918-191X; Hayaloglu, Ali Adnan/0000-0002-4274-2729",1094-2912,1532-2386,,2018,20,,10.1080/10942912.2017.1375515,,*16S rRNA sequencing and PCR-Temporal Temperature Gel Electrophoresis (PCR-TTGE),No,Isolate,Yes,Whole mass,NA,NA,Enumeration of microbes and pathogens,"1, 15, 30, 45, 56, 64 and 72 days",Yes,Whole mass,No,No,NA,3.58,1.61,Algeria,NA,Algerian Bouhezza cheese,56,Ripening,Industrial,NA,NA,NA
90,"Medjoudj, H; Aouar, L; Zidoune, MN; Hayaloglu, AA","Medjoudj, Hacene; Aouar, Lamia; Zidoune, Mohammed Nasreddine; Hayaloglu, Ali Adnan","Proteolysis, microbiology, volatiles and sensory evaluation of Algerian traditional cheese Bouhezza made using goat's raw milk",INTERNATIONAL JOURNAL OF FOOD PROPERTIES,"The objective of this work was to characterize the traditional cheese, Bouhezza made with raw goat's milk. There were three cheese making performed; two at the laboratory scale (FH1, FH2) and one in a farm (FH3). The evaluation consisted in the determination of physico-chemical characteristics, proteolysis, microbiological and sensory status. The microbiological characterization was performed during cheese ripening with identification of lactic acid bacteria by 16S rDNA sequencing using PCR-TTGE. The sensory analysis and volatile profile were determined by GC-MS. The pH decreased during cheese ripening from 4.69 to 3.99. The moisture in defatted cheese was 79.05% and fat-in-dry matter 34.77%, which allowed its classification according to the Codex alimentarius as ripened soft and mid-fat cheese. The urea-PAGE pattern of caseins showed a fast proteolysis, which started from the first day of ripening. The sensory evaluation showed that Bouhezza cheese was salty, spicy and intense in odour and aroma. A total, of 100 volatile compounds were identified, where the main components were carboxylic acids (14 compounds) followed by their esters (32) and alcohols (13), aldehydes (5), ketones (8), terpenes and miscellaneous compounds. This study showed that Bouhezza cheese was considered as a product of satisfactory microbiological quality and rich in LABs whose contribute to its ripening, where many of identified strains were the same as those found in other dairy products. The main sensory descriptors as flavour and odor, was lactic flavor and lactic acidic odor. The products of proteolysis gives to Bouhezza a riches in volatiles and fragrance characteristics, which reflect the uniqueness of this cheese of terroir. Finally, an identity card of the Bouhezza cheese was achieved following results of this study.","MEDJOUDJ, Hacene/P-9930-2019; AOUAR, LAMIA/M-9548-2016; Hayaloglu, Ali Adnan/ABF-7063-2020","MEDJOUDJ, Hacene/0000-0002-3942-9387; AOUAR, LAMIA/0000-0003-2918-191X; Hayaloglu, Ali Adnan/0000-0002-4274-2729",1094-2912,1532-2386,,2018,20,,10.1080/10942912.2017.1375515,,*16S rRNA sequencing and PCR-Temporal Temperature Gel Electrophoresis (PCR-TTGE),No,Isolate,Yes,Whole mass,NA,NA,Enumeration of microbes and pathogens,"1, 15, 30, 45, 56, 64 and 72 days",Yes,Whole mass,No,No,NA,4.07,1.24,Algeria,NA,Algerian Bouhezza cheese,56,Ripening,Industrial,NA,NA,NA
90,"Medjoudj, H; Aouar, L; Zidoune, MN; Hayaloglu, AA","Medjoudj, Hacene; Aouar, Lamia; Zidoune, Mohammed Nasreddine; Hayaloglu, Ali Adnan","Proteolysis, microbiology, volatiles and sensory evaluation of Algerian traditional cheese Bouhezza made using goat's raw milk",INTERNATIONAL JOURNAL OF FOOD PROPERTIES,"The objective of this work was to characterize the traditional cheese, Bouhezza made with raw goat's milk. There were three cheese making performed; two at the laboratory scale (FH1, FH2) and one in a farm (FH3). The evaluation consisted in the determination of physico-chemical characteristics, proteolysis, microbiological and sensory status. The microbiological characterization was performed during cheese ripening with identification of lactic acid bacteria by 16S rDNA sequencing using PCR-TTGE. The sensory analysis and volatile profile were determined by GC-MS. The pH decreased during cheese ripening from 4.69 to 3.99. The moisture in defatted cheese was 79.05% and fat-in-dry matter 34.77%, which allowed its classification according to the Codex alimentarius as ripened soft and mid-fat cheese. The urea-PAGE pattern of caseins showed a fast proteolysis, which started from the first day of ripening. The sensory evaluation showed that Bouhezza cheese was salty, spicy and intense in odour and aroma. A total, of 100 volatile compounds were identified, where the main components were carboxylic acids (14 compounds) followed by their esters (32) and alcohols (13), aldehydes (5), ketones (8), terpenes and miscellaneous compounds. This study showed that Bouhezza cheese was considered as a product of satisfactory microbiological quality and rich in LABs whose contribute to its ripening, where many of identified strains were the same as those found in other dairy products. The main sensory descriptors as flavour and odor, was lactic flavor and lactic acidic odor. The products of proteolysis gives to Bouhezza a riches in volatiles and fragrance characteristics, which reflect the uniqueness of this cheese of terroir. Finally, an identity card of the Bouhezza cheese was achieved following results of this study.","MEDJOUDJ, Hacene/P-9930-2019; AOUAR, LAMIA/M-9548-2016; Hayaloglu, Ali Adnan/ABF-7063-2020","MEDJOUDJ, Hacene/0000-0002-3942-9387; AOUAR, LAMIA/0000-0003-2918-191X; Hayaloglu, Ali Adnan/0000-0002-4274-2729",1094-2912,1532-2386,,2018,20,,10.1080/10942912.2017.1375515,,*16S rRNA sequencing and PCR-Temporal Temperature Gel Electrophoresis (PCR-TTGE),No,Isolate,Yes,Whole mass,NA,NA,Enumeration of microbes and pathogens,"1, 15, 30, 45, 56, 64 and 72 days",Yes,Whole mass,No,No,NA,3.99,1.22,Algeria,NA,Algerian Bouhezza cheese,56,Ripening,Industrial,NA,NA,NA
91,"Culumber, M; McMahon, DJ; Ortakci, F; Montierth, L; Villalba, B; Broadbent, JR; Oberg, CJ","Culumber, Michele; McMahon, Donald J.; Ortakci, Fatih; Montierth, Lauren; Villalba, Beatriz; Broadbent, Jeffery R.; Oberg, Craig J.",Hot topic: Geographical distribution and strain diversity of Lactobacillus wasatchensis isolated from cheese with unwanted gas formation,JOURNAL OF DAIRY SCIENCE,"Lactobacillus wasatchensis, an obligate heterofermentative nonstarter lactic acid bacteria (NSLAB) implicated in causing gas defects in aged cheeses, was originally isolated from an aged Cheddar produced in Logan, Utah. To determine the geographical distribution of this organism, we isolated slow-growing NSLAB from cheeses collected in different regions of the United States, Australia, New Zealand, and Ireland. Seven of the cheeses showed significant gas defects and 12 did not. Nonstarter lactic acid bacteria were isolated from these cheeses on de Man, Rogosa, and Sharpe medium supplemented with ribose, a preferred substrate for Lb. wasatchensis. Identification was confirmed with 16S rRNA gene sequencing and the API5OCH (bioMerieux, Marcy l'Etoile, France) carbohydrate panel. Isolates were also compared with one another by using repetitive element sequence-based PCR (rep-PCR). Lactobacillus wasatchensis was isolated only from cheeses demonstrating late-gas development and was found in samples from 6 of the 7 cheeses. This supports laboratory evidence that this organism is a causative agent of late gas production defects. The rep-PCR analysis produced distinct genetic fingerprints for isolates from each cheese, indicating that Lb. wasatchensis is found in several regions across the United States and is not a local phenomenon.","Ortakci, Fatih/ABF-9487-2020","Ortakci, Fatih/0000-0003-1319-0854",0022-0302,1525-3198,NOV,2017,100,11,10.3168/jds.2017-13375,28918154,*16S rRNA sequecing for LAB and repetitive element sequence-based PCR (rep-PCR),No,Isolate,Yes,Whole mass,Culture,AWTT00000000,Selective plating and enuration of LAB,NA,No,Whole mass,No,No,NA,NA,NA,Australia,NA,"Flavored Cheddar, Aged Cheddar, Cheddar, Extra-sharp Cheddar,  Dill Havarti, Monterey Jack",NA,Ripened,Commercial,NA,NA,NA
91,"Culumber, M; McMahon, DJ; Ortakci, F; Montierth, L; Villalba, B; Broadbent, JR; Oberg, CJ","Culumber, Michele; McMahon, Donald J.; Ortakci, Fatih; Montierth, Lauren; Villalba, Beatriz; Broadbent, Jeffery R.; Oberg, Craig J.",Hot topic: Geographical distribution and strain diversity of Lactobacillus wasatchensis isolated from cheese with unwanted gas formation,JOURNAL OF DAIRY SCIENCE,"Lactobacillus wasatchensis, an obligate heterofermentative nonstarter lactic acid bacteria (NSLAB) implicated in causing gas defects in aged cheeses, was originally isolated from an aged Cheddar produced in Logan, Utah. To determine the geographical distribution of this organism, we isolated slow-growing NSLAB from cheeses collected in different regions of the United States, Australia, New Zealand, and Ireland. Seven of the cheeses showed significant gas defects and 12 did not. Nonstarter lactic acid bacteria were isolated from these cheeses on de Man, Rogosa, and Sharpe medium supplemented with ribose, a preferred substrate for Lb. wasatchensis. Identification was confirmed with 16S rRNA gene sequencing and the API5OCH (bioMerieux, Marcy l'Etoile, France) carbohydrate panel. Isolates were also compared with one another by using repetitive element sequence-based PCR (rep-PCR). Lactobacillus wasatchensis was isolated only from cheeses demonstrating late-gas development and was found in samples from 6 of the 7 cheeses. This supports laboratory evidence that this organism is a causative agent of late gas production defects. The rep-PCR analysis produced distinct genetic fingerprints for isolates from each cheese, indicating that Lb. wasatchensis is found in several regions across the United States and is not a local phenomenon.","Ortakci, Fatih/ABF-9487-2020","Ortakci, Fatih/0000-0003-1319-0854",0022-0302,1525-3198,NOV,2017,100,11,10.3168/jds.2017-13375,28918154,*16S rRNA sequecing for LAB and repetitive element sequence-based PCR (rep-PCR),No,Isolate,Yes,Whole mass,Culture,AWTT00000000,Selective plating and enuration of LAB,NA,No,Whole mass,No,No,NA,NA,NA,Ireland,NA,"Flavored Cheddar, Aged Cheddar, Cheddar, Extra-sharp Cheddar,  Dill Havarti, Monterey Jack",NA,Ripened,Commercial,NA,NA,NA
91,"Culumber, M; McMahon, DJ; Ortakci, F; Montierth, L; Villalba, B; Broadbent, JR; Oberg, CJ","Culumber, Michele; McMahon, Donald J.; Ortakci, Fatih; Montierth, Lauren; Villalba, Beatriz; Broadbent, Jeffery R.; Oberg, Craig J.",Hot topic: Geographical distribution and strain diversity of Lactobacillus wasatchensis isolated from cheese with unwanted gas formation,JOURNAL OF DAIRY SCIENCE,"Lactobacillus wasatchensis, an obligate heterofermentative nonstarter lactic acid bacteria (NSLAB) implicated in causing gas defects in aged cheeses, was originally isolated from an aged Cheddar produced in Logan, Utah. To determine the geographical distribution of this organism, we isolated slow-growing NSLAB from cheeses collected in different regions of the United States, Australia, New Zealand, and Ireland. Seven of the cheeses showed significant gas defects and 12 did not. Nonstarter lactic acid bacteria were isolated from these cheeses on de Man, Rogosa, and Sharpe medium supplemented with ribose, a preferred substrate for Lb. wasatchensis. Identification was confirmed with 16S rRNA gene sequencing and the API5OCH (bioMerieux, Marcy l'Etoile, France) carbohydrate panel. Isolates were also compared with one another by using repetitive element sequence-based PCR (rep-PCR). Lactobacillus wasatchensis was isolated only from cheeses demonstrating late-gas development and was found in samples from 6 of the 7 cheeses. This supports laboratory evidence that this organism is a causative agent of late gas production defects. The rep-PCR analysis produced distinct genetic fingerprints for isolates from each cheese, indicating that Lb. wasatchensis is found in several regions across the United States and is not a local phenomenon.","Ortakci, Fatih/ABF-9487-2020","Ortakci, Fatih/0000-0003-1319-0854",0022-0302,1525-3198,NOV,2017,100,11,10.3168/jds.2017-13375,28918154,*16S rRNA sequecing for LAB and repetitive element sequence-based PCR (rep-PCR),No,Isolate,Yes,Whole mass,Culture,AWTT00000000,Selective plating and enuration of LAB,NA,No,Whole mass,No,No,NA,NA,NA,New Zealand,NA,"Flavored Cheddar, Aged Cheddar, Cheddar, Extra-sharp Cheddar,  Dill Havarti, Monterey Jack",NA,Ripened,Commercial,NA,NA,NA
91,"Culumber, M; McMahon, DJ; Ortakci, F; Montierth, L; Villalba, B; Broadbent, JR; Oberg, CJ","Culumber, Michele; McMahon, Donald J.; Ortakci, Fatih; Montierth, Lauren; Villalba, Beatriz; Broadbent, Jeffery R.; Oberg, Craig J.",Hot topic: Geographical distribution and strain diversity of Lactobacillus wasatchensis isolated from cheese with unwanted gas formation,JOURNAL OF DAIRY SCIENCE,"Lactobacillus wasatchensis, an obligate heterofermentative nonstarter lactic acid bacteria (NSLAB) implicated in causing gas defects in aged cheeses, was originally isolated from an aged Cheddar produced in Logan, Utah. To determine the geographical distribution of this organism, we isolated slow-growing NSLAB from cheeses collected in different regions of the United States, Australia, New Zealand, and Ireland. Seven of the cheeses showed significant gas defects and 12 did not. Nonstarter lactic acid bacteria were isolated from these cheeses on de Man, Rogosa, and Sharpe medium supplemented with ribose, a preferred substrate for Lb. wasatchensis. Identification was confirmed with 16S rRNA gene sequencing and the API5OCH (bioMerieux, Marcy l'Etoile, France) carbohydrate panel. Isolates were also compared with one another by using repetitive element sequence-based PCR (rep-PCR). Lactobacillus wasatchensis was isolated only from cheeses demonstrating late-gas development and was found in samples from 6 of the 7 cheeses. This supports laboratory evidence that this organism is a causative agent of late gas production defects. The rep-PCR analysis produced distinct genetic fingerprints for isolates from each cheese, indicating that Lb. wasatchensis is found in several regions across the United States and is not a local phenomenon.","Ortakci, Fatih/ABF-9487-2020","Ortakci, Fatih/0000-0003-1319-0854",0022-0302,1525-3198,NOV,2017,100,11,10.3168/jds.2017-13375,28918154,*16S rRNA sequecing for LAB and repetitive element sequence-based PCR (rep-PCR),No,Isolate,Yes,Whole mass,Culture,AWTT00000000,Selective plating and enuration of LAB,NA,No,Whole mass,No,No,NA,NA,NA,USA,NA,"Flavored Cheddar, Aged Cheddar, Cheddar, Extra-sharp Cheddar,  Dill Havarti, Monterey Jack",NA,Ripened,Commercial,NA,NA,NA
92,"Hassanzadazar, H; Mardani, K; Yousefi, M; Ehsani, A","Hassanzadazar, Hassan; Mardani, Karim; Yousefi, Mohammad; Ehsani, Ali",Identification and molecular characterisation of lactobacilli isolated from traditional Koopeh cheese,INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY,"This study was undertaken in order to phenotype and genotype wild-type lactic acid bacteria isolated from Koopeh cheese of West Azerbaijan. Lactic acid bacteria (LAB) isolates were identified by polymerase chain reaction (PCR) and restriction fragment length polymorphism (RFLP) and confirmed by phylogenetic analysis. Genotyping based on phylogenetic analysis of 16s rDNA gene revealed that LAB isolated from Koopeh cheese were mostly Lactobacillus plantarum as well as other species including Lactobacillus brevis, Entrococcus faecium and Enterococcus durans. It was concluded that a combined phenotypic and genotypic method could be used as a reliable technique for the identification and differentiation of LAB from dairy products.","Mardani, Karim/AAF-5099-2020; hassan hassanzadazar, hygiene and quality control/AAC-9637-2020","Ehsani, Ali/0000-0003-0391-9218; Mardani, Karim/0000-0002-2327-0535",1364-727X,1471-0307,NOV,2017,70,4,10.1111/1471-0307.12396,,*16S rRNA sequecing for LAB and RFLP,No,Isolate,Yes,Whole mass,Culture,"AB154827.1, GU125582.1, AB601177.1, HM218421.1, AB548882.1, JN383919.1, HQ677826.1, HM218490.1, FJ157238.1, JQ478491.1, EF533992.1, AY675257.1, AB008207.1 and AY773950.1",Selective plating and enuration of LAB,NA,No,Whole mass,No,No,NA,5.11,NA,Iran,NA,Koopeh cheese,NA,Ripened,Commercial,NA,NA,NA
93,"Milani, E; Shahidi, F; Mortazavi, SA; Saeedi, M","Milani, Elnaz; Shahidi, Fakhri; Mortazavi, Seyed Ali; Saeedi, Mansour",ISOLATION AND IDENTIFICATION OF LACTIC ACID BACTERIA IN KURDISH CHEESE DURING RIPENING USING 16S RRNA GENE SEQUENCE ANALYSIS,JOURNAL OF FOOD PROCESSING AND PRESERVATION,"Kurdish cheese is a special local cheese produced and consumed in Khorasan province, North East, Iran. One-hundred and five lactic acid bacteria isolates from various steps of Kurdish cheese ripening after identification of genus level by biochemical tests and molecular analysis based on universal and specific primers are Enterococcus faecium (29.5%), Lactobacillus plantarum (16.2%), Enterococcus faecalis (13.3%), Lactococcus lactis subsp lactis (11.4%), Enterococcus durans (8.6%), Lactobacillus pentosus (8.6%), Lactobacillus casei (3.8%), Enterococcus hirae (2.9%), Lactobacillus paracasei (2.9%), Lactobacillus helveticus (1.9%) and Lactobacillus brevis (0.9%). In initial stages of Kurdish cheese ripening, L. lactis subsp lactis was the predominant LAB, while Enterococcus faecium and Lactobacillus plantarum were the predominant LAB at the later stages.","Mortazavi, Seyed Ali/K-9647-2018; shahidi, fakhri/L-8181-2018","Mortazavi, Seyed Ali/0000-0002-5867-5161; shahidi, fakhri/0000-0002-5257-8205; saeedi, mansour/0000-0001-6075-9586",0145-8892,1745-4549,AUG,2017,41,4,10.1111/jfpp.13009,,*16S rRNA sequencing for LAB,No,Isolate,Yes,Whole mass,Culture,NA,Selective plating and enumeration of LAB,"day 1, day 20, day 40 and day 60",Yes,Whole mass,No,No,5,NA,NA,Iran,NA,Kurdish cheese,90,Ripening,Industrial,No,No,NA
94,"Allam, MGM; Darwish, AMG; Ayad, EHE; Shokery, ES; Darwish, SM","Allam, Marwa G. M.; Darwish, Amira M. G.; Ayad, Eman H. E.; Shokery, Enaam S.; Darwish, Saeid M.",Lactococcus species for conventional Karish cheese conservation,LWT-FOOD SCIENCE AND TECHNOLOGY,"Karish cheese is one of the most popular, oldest cheese varieties in Egypt and Arab countries. As a low fat cheese; it is a promising food in particularly for old people and whom suffering from obesity related diseases. The objective of this work was to isolate, identify and select Lactococcus lactic acid bacteria (LAB) from traditional Karish cheese to conserve and enhance the characteristics of conventional Karish cheese made of pasteurized milk to meet the new regulations for dairy production. Two Lactococcus strains were selected out of 11 Lactococcus LAB isolates from 15 Karish cheese samples, phenotypically and technologically characterized then identified using genotypic 16S rRNA approach. The two unique strains; L. lactis subsp cremoris (KM746) and the exopolysaccharide (EPS) producing strain L lactis subsp lactis (KM721) were applied as single starter cultures in comparison with commercial starter culture used in Karish cheese making. Selected LAB showed decent growth throughout processing and storage at 4 degrees C for 10 days preventing growth of coliform and staphylococci. Chemical composition of tested cheese samples was similar to the conventional Karish cheese, whilst rheological and sensorial properties were enhanced which encourage recommending these strains as starter cultures conserving and enhancing this type of traditional cheese. (C) 2016 Elsevier Ltd. All rights reserved.","Darwish, Amira M.G./I-9278-2016; Allam, Marwa/ABI-3575-2020","Darwish, Amira M.G./0000-0003-3586-1575; Allam, Marwa/0000-0002-6653-1213",0023-6438,1096-1127,JUN,2017,79,,10.1016/j.lwt.2016.11.032,,*16S RNA sequencing for LAB,No,Isolate,Yes,Whole mass,culture,KU760727 and KU760728,Selective plating and enumeration of LAB,Ripened,No,Whole mass,No,No,NA,NA,NA,Egypt,NA,Artisanal Egyptian Karish cheese,NA,Ripened,Commercial,NA,NA,NA
95,"Domingos-Lopes, MFP; Stanton, C; Ross, PR; Dapkevicius, MLE; Silva, CCG","Domingos-Lopes, M. F. P.; Stanton, C.; Ross, P. R.; Dapkevicius, M. L. E.; Silva, C. C. G.","Genetic diversity, safety and technological characterization of lactic acid bacteria isolated from artisanal Pico cheese",FOOD MICROBIOLOGY,"A total of 114 lactic acid bacteria were isolated at one and 21 days of ripening from a traditional raw cow's milk cheese without the addition of starter culture, produced by three artisanal cheese-makers in Azores Island (Pico, Portugal). Identification to species and strain level was accomplished by 16S rRNA gene and PFGE analysis. Carbohydrate utilization profiles were obtained with the relevant API kits. Isolates were evaluated according to safety and technological criteria. The most frequently observed genus identified by 16S rRNA sequencing analysis was Enterococcus, whereas API system mostly identified Lactobacillus. The highest percentages of antibiotic resistance were to nalidixic acid (95%), and aminoglycosides (64-87%). All isolates were sensitive to several beta-lactam antibiotics and negative for histamine and DNase production. Gelatinase activity was detected in 49.1% of isolates, 43% were able to degrade casein and 93% were a-hemolytic. Most enterococci presented virulence genes, such as gelE, asal, ace. Diacetyl production was found to be species dependent and one strain (Leu. citreum) produced exopoly-saccharides. Selected strains were further studied for technological application and were found to be slow acid producers in milk and experimental cheeses, a desirable trait for adjunct cultures. Two strains were selected on the basis of technological and safety application as adjunct cultures in cheese production and presented the best cheese aroma and flavor in consumer preference tests. This is the first effort to characterize Pico cheese LAB isolates for potential application as adjunct cultures; the results suggest the potential of two strains to improve the quality of this traditional raw milk product. (C) 2016 Elsevier Ltd. All rights reserved.","Silva, Celia CG/B-5626-2008; Ross, Paul/A-7584-2015; Stanton, Catherine/A-9549-2015; Lopes, Marina Domingos/AAE-9293-2019; Silva, Celia/AAK-7842-2020; de Lurdes Nunes Enes Dapkevicius, Maria/F-2426-2011","Silva, Celia CG/0000-0003-0870-0071; Ross, Paul/0000-0003-4876-8839; Stanton, Catherine/0000-0002-6724-7011; de Lurdes Nunes Enes Dapkevicius, Maria/0000-0003-2146-5627",0740-0020,1095-9998,MAY,2017,63,,10.1016/j.fm.2016.11.014,28040167,*16S rRNA sequencing for LAB and PFGE analysis,No,Isolate,Yes,Whole mass,Culture,"KF193420 - KF193427, KM079353-KM079361, KM096813 - KM096829, KM103931 - M103934, KM201349 - KM201363, KU311978 - KU312038",NA,Days 1 and 21 of ripening,Yes,Whole mass,No,No,NA,NA,NA, Portugal,NA,artisanal Pico cheeses,NA,Ripening,Industrial,NA,NA,NA
